,LA,RR,SF-1,SF-2,SF-3,"SF-
4A
4","SF-
4B
5",SF-5,SF-6,MF-1,MF-2,MF-3,MF-4,MF-5,MF-6,MH,NO,LO,GO,CR,LR,GR,L
"MINIMUM
LOT SIZE
(square
feet):","43,560","43,560","10,000","5,750","5,750",4,5,"5,750","5,750","8,000","8,000","8,000","8,000","8,000","8,000",—,"5,750","5,750","5,750","20,000","5,750","5,750","5,750"
"MINIMUM
CORNER
LOT AREA
(square
feet):",,,,,,4,5,—,—,—,,,,,,,,,,,,,
"MINIMUM
LOT WIDTH:",100,100,60,50,50,4,5,50,50,50,50,50,50,50,50,—,50,50,50,100,50,50,50
"MINIMUM
CORNER
LOT WIDTH:",,,,,,4,5,50,—,"—
6",7,8,9,9,,,,,,,,,
"MAXIMUM
DWELLING
UNITS PER
LOT:",1,1,3,3,3,4,5,—,—,,,,,,—,—,,,,,,,
"MAXIMUM
HEIGHT:",35,35,35,35,35,,,35,35,40,"40 or
3
stories",40,60,60,90,—,"35 or
2
stories","40 or
3
stories",60,40,"40 or
3
stories",60,200
"MINIMUM
SETBACKS:",,,,,,4,5,,,,,,,,,,,,,,,,
"FRONT
YARD:",40,40,25,25,25,4,5,25,25,25,25,25,15,15,15,—,25,25,15,50,25,10,10
"STREET
SIDE YARD:",25,25,15,15,15,4,,15,15,15,15,15,15,15,15,—,15,15,15,50,15,10,10
"INTERIOR
SIDE YARD:",10,10,5,5,5,4,"10
5",5,5,5,5,5,5,5,5,—,5,5,5,20,—,—,—
"REAR
YARD:",20,20,10,10,10,4,,10,10,10,10,10,10,10,10,—,5,5,5,20,—,—,—
"MAXIMUM
BUILDING
COVERAGE:","—
1",20%,35%,40%,40%,,40%,40%,40%,45%,50%,55%,60%,60%,70%,—,35%,50%,60%,25%,50%,75%,50%
"MAXIMUM
IMPERVIOUS
COVER:",,25%,40%,45%,45%,*,60%,55%,55%,55%,60%,65%,70%,70%,80%,—,60%,70%,80%,60%,80%,90%,50%
"MAXIMUM
FLOOR
AREA RATIO",,,,,,,,,,,—,.75:1,.75:1,1:1,—,—,.35:1,.7:1,1:1,.25:1,.5:1,1:1,8:1
