TABLE B: ADDITIONAL MEASURES TO IMPROVE CONNECTIVITY,
Option,Description/Comments
"Provide additional pedestrian connections
from on-site buildings to adjacent streets.","Pedestrian connections must be edged by curb, except where connections cross drive aisles,
and should be evenly spaced. One point per pedestrian connection."
"Provide pedestrian and bicycle connections
from adjacent parkland.","Where public parkland is adjacent to the property line, provide pedestrian and bicycle access
from the trail or walkway system on that parkland to the building entrance. The pedestrian and
bicycle access points must be fully accessible during operating hours and shall meet city
standards for pedestrian and bike ways."
"Provide solar power shading devices in
parking lots.",Devices shall comply with requirements of administrative rules on this subject.
"Provide pedestrian and bicycle connection to
adjacent residential development.","If there is a residential development adjacent to the site, provide a pedestrian and bicycle
connection to the property line, and to an existing pathway if one is present on the adjacent
site. Compliance with this option also may include providing a sidewalk that connects the
project site to an adjacent residential development and that runs along a public roadway
where no sidewalk currently exists or where the existing sidewalk does not meet the width
standards in this Subchapter."
"Exceed applicable sidewalk standards by
constructing a sidewalk along a public street
frontage to Core Transit Corridor standards.",Sidewalks along an ICR may not be used to satisfy this standard.
"Provide a public access easement for the
construction of a multi-use trail connecting to
or proposed in the City of Austin Trails Master
Plan, Austin Parks and Recreation Lone-Range
Plan, Sidewalk Master Plan or Bicycle Path.",Requires approval of the Director of Public Works.
Incorporate a transit stop into the project.,"Review and approval of Capital Metro, or transit provider required."
"Internal utility lines should be located in drive
aisles or Internal Circulation Routes, rather
than under parking areas.",Do not locate utility lines beneath surface parking areas.
Limit curb cuts.,"Connections between site and adjacent arterials and highways occur no more frequently than
every 330 feet."
"At least 10% of the provided parking is
underground or within a parking structure.",
