REGULATION,SINGLE-FAMILY DUPLEX,TOWNHOUSE,"COMMERCIAL
MULTIFAMILY
CONDOMINIUM"
Minimum Lot Size,"2,000 SF
2,500 SF on corner lot","3,600 SF
4,000 SF on corner lot","3,600 SF
4,000 SF on corner lot"
Maximum Lot Size,"4,000 SF","43,560 SF","43,560 SF"
Minimum Lot Width 2,"20 FT
25 FT on corner lot","40 FT
45 FT on corner lot","40 FT
45 FT on corner lot"
Maximum Site Area,"20,000 SF","43,560 SF","43,560 SF"
Minimum Frontage Buildout 3,80%,80%,60%
Maximum Height,35 FT,60 FT,60 FT
Maximum Front Yard Setback,5 FT,5 FT,5 FT
Minimum Front Yard Setback,-0-,-0-,-0-
Minimum Street Side Yard Setback,5 FT,5 FT,5 FT
Minimum Interior Side Yard Setback,-0-,-0-,-0-
Minimum Rear Yard Setback,5 FT,-0-,5 FT
Maximum Building Coverage,70%,70%,70%
Maximum Impervious Cover,90%,90%,90%
